"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";
"C2";"100µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";
"C3";"100µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";
"C4";"100µF";"ELCOELCO2,5MMLEAD";"ELCO-2.5MMLEAD";"electrolytic capacitor 3.5mm lead";"";"";"";"";
"C5";"100nF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";
"D1";"RB551V";"SCHOTTKY-DIODESOD323-ST";"SOD323_ST";"Schottky diode";"";"";"";"";
"D2";"RB551V";"SCHOTTKY-DIODESOD323-ST";"SOD323_ST";"Schottky diode";"";"";"";"";
"H1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";
"HC-12";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";
"IC1";"PRO-MINI-Ltd";"ARDUINO-PRO-MINI-LIMITED";"ARDUINO-PRO-MINI-LIMITED";"Arduion Pro Mini Clone V1.0";"";"";"";"";
"IC2";"5V";"LM1117-TO220";"TO220V";"LM1117 TO220 VOLTAGE REGULATOR";"";"";"";"";
"IC3";"3V";"LM1117-TO220";"TO220V";"LM1117 TO220 VOLTAGE REGULATOR";"";"";"";"";
"IC4";"ESP8266-12";"ESP8266-12-ADAPTER-BRD";"ESP8266-12-ADAPTER-BRD";"ESP8266-12E/F adapter board";"";"";"";"";
"JP1";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-1X19";"1X19";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";
"LUG1";"3V";"LUG";"LUG-5MM";"Lug 5mm";"";"";"";"";
"Q1";"BSS138";"BSS138";"SOT23";"BSS138 fast N-channel 30V TTL MOSFET";"";"";"";"";
"Q2";"BSS138";"BSS138";"SOT23";"BSS138 fast N-channel 30V TTL MOSFET";"";"";"";"";
"R1";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R2";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R3";"22k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R4";"33k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R5";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R6";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R7";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R8";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R9";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R10";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R11";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R12";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R13";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"R14";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";
"U1";"ESP32-DEVKIT_38P";"ESP32-DEVKIT_38PV1";"MODULE_ESP32-DEVKIT_38P_V1";"Check availability";"";"";"";"";
"X1";"";"TERMINAL-5MM-2POLE";"W237-132";"WAGO SCREW CLAMP";"";"";"unknown";"unknown";
"X2";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X3";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X4";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X5";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X6";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X7";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2'";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"unknown";"unknown";
"X8";"";"TERMINAL-2POLE-0,1-INCH-SCREW";"TERMINAL-2,54MM-2POLE";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
